46.67858900,7.629929000,641.34
46.67862700,7.629885000,641.82
46.67867300,7.629877000,642.78
46.67870300,7.629885000,643.74
46.67877600,7.629792000,645.18
46.67890500,7.629678000,645.66
46.67892100,7.629669000,646.14
46.67906200,7.629599000,648.07
46.67918400,7.629568000,649.99
46.67922600,7.629573000,650.47
46.67932500,7.629573000,650.47
46.67945900,7.629654000,653.35
46.67961900,7.629800000,655.28
46.67968000,7.629815000,655.76
46.67971400,7.629688000,656.24
46.67965300,7.629614000,656.72
46.67958800,7.629506000,658.16
